Itr,Rate,P0,P25,P50
 1,2.0,99.6694214876033,98.1229822058713,99.4332779205078
 1,4.0,98.1623738514837,90.6079427818558,92.5561956398961
 1,8.0,66.862859399387,64.1074493972949,60.9637738404243
 2,2.0,71.395922844867,99.2803133825271,86.1692447679709
 2,4.0,69.3745145520172,81.1108581834737,85.027397260274
 2,8.0,57.2635135135135,53.9731847148306,67.8927168052636
 3,2.0,99.3390390644861,96.9302721088435,99.515964673913
 3,4.0,99.0478619399813,79.718022762018,98.0847630372006
 3,8.0,65.65814825009,52.9677556215528,58.2445233866193
 4,2.0,95.8832394701356,92.6278995869082,98.7767098260386
 4,4.0,94.5037925419959,92.5211814078708,91.2604774957295
 4,8.0,64.4335933623137,66.1054259876249,70.3895536901431
 5,2.0,75.8158934582175,98.61609431061,77.0865279299014
 5,4.0,75.9237536656891,84.2460725297313,76.5392664390351
 5,8.0,66.4665287667722,52.1866637340078,65.6569175758687
 xx,Average,80.67821967049688444444,,
