Itr,Rate,P0,P25,P50
 1,2.0,88.541038020519,89.4344453648618,88.9467723669309
 1,4.0,90.8118289696741,88.6415761176072,85.9420834900339
 1,8.0,62.0251494070848,58.8493326053806,46.5148716402156
 
 2,2.0,57.9260479589969,86.4121997991051,79.2664057522527
 2,4.0,69.3305292674378,70.1678979180658,77.0145975380955
 2,8.0,52.3119866382959,43.3795367499544,63.7433311408317
 
 3,2.0,91.5058243346654,86.3035744536676,92.2267481330618
 3,4.0,91.2400406848618,78.4935747911277,93.0813063446164
 3,8.0,64.0518301734741,42.3703327191478,60.8407079646018
 
 4,2.0,85.5719819748597,76.1723700887199,87.8512069647804
 4,4.0,84.326991960519,74.4732185941773,84.5352659300622
 4,8.0,58.0382604562738,58.6019584018297,64.5402923764649
 
 5,2.0,66.8523676880223,89.6247888978633,70.0510576221736
 5,4.0,71.5092361055094,83.9709496387045,71.3809325314119
 5,8.0,63.6573929352923,49.5876099706745,61.0747099088546
 
 xx,Average,73.35987027535025333333
