Itr,Rate,P0,P25,P50
 1,2.0,99.992499249925,98.8069332933143,99.8340123736231
 1,4.0,99.9397998344495,77.39906598373,78.9190004146093
 1,8.0,52.6058693119904,47.0620331520819,35.3051996985682
 
 2,2.0,71.5661987338288,99.5894160583942,87.4020768810348
 2,4.0,66.0500296168041,77.264418243305,84.8120369523461
 2,8.0,51.6862136631224,41.521108751741,57.8959389703531
 
 3,2.0,99.7456980588285,98.5615163310205,99.9319670039969
 3,4.0,99.0913722826087,58.76907469248,99.8098698664864
 3,8.0,58.7480173416517,30.5551437104187,44.6978045265746
 
 4,2.0,96.2087563451777,93.4844641724794,99.1189776966426
 4,4.0,95.0400761844298,93.1966042526182,78.8323483917027
 4,8.0,57.2766142760996,49.5334894985508,55.344851526392
 
 5,2.0,76.7763157894737,99.7437586939015,78.0891438658429
 5,4.0,74.2836203737633,70.2851717968379,76.3209034576321
 5,8.0,62.9624200670612,43.1912168344007,62.9155448101544
 
 xx,Average,75.11481317845439333333
